"Reaction Abbreviation","Reaction Name","Reaction","Gene-reaction association","locusTags","Subsystem","Reversible","LB","UB","Objective"
"GLYCTO2","Glycolate oxidase","[c] : glyclt + q8 -->  glx + q8h2","( ECW_m3246  and  ECW_m3244  and  ECW_m3245 )","ECW_m3246 ECW_m3244 ECW_m3245","Alternate Carbon Metabolism",0,0,1000,0
"GLYCTO3","Glycolate oxidase","[c] : glyclt + mqn8 -->  glx + mql8","( ECW_m3246  and  ECW_m3244  and  ECW_m3245 )","ECW_m3246 ECW_m3244 ECW_m3245","Alternate Carbon Metabolism",0,0,1000,0
"GLYCTO4","Glycolate oxidase","[c] : 2dmmq8 + glyclt -->  2dmmql8 + glx","( ECW_m3246  and  ECW_m3244  and  ECW_m3245 )","ECW_m3246 ECW_m3244 ECW_m3245","Alternate Carbon Metabolism",0,0,1000,0
"GLYCtex","glycerol transport via diffusion extracellular to periplasm "," glyc[e] <==>  glyc[p]","( ECW_m0355  or  ECW_m1039  or  ECW_m1509  or  ECW_m2416 )","ECW_m0355 ECW_m1039 ECW_m1509 ECW_m2416","Transport Outer Membrane Porin",1,-1000,1000,0
"GLYCtpp","glycerol transport via channel periplasm "," glyc[c] <==>  glyc[p]","( s0001  or  ECW_m4279 )","ECW_m4279 s0001","Transport Inner Membrane",1,-1000,1000,0
"GLYK","glycerol kinase","[c] : atp + glyc -->  adp + glyc3p + h","ECW_m4278","ECW_m4278","Alternate Carbon Metabolism",0,0,1000,0
"GLYOX","hydroxyacylglutathione hydrolase","[c] : h2o + lgt-S -->  gthrd + h + lac-D","ECW_m0209","ECW_m0209","Methylglyoxal Metabolism",0,0,1000,0
"GLYOX3","glyoxalase III","[c] : h2o + mthgxl -->  h + lac-D",,,"Methylglyoxal Metabolism",0,0,1000,0
"GLYTRS","Glycyl tRNA synthetase","[c] : atp + gly + trnagly -->  amp + glytrna + ppi","( ECW_m3832  and  ECW_m3833 )","ECW_m3832 ECW_m3833","tRNA Charging",0,0,1000,0
"GLYt2pp","glycine transport in via proton symport periplasm "," gly[p] + h[p] -->  gly[c] + h[c]","( ECW_m4572  or  ECW_m1970 )","ECW_m1970 ECW_m4572","Transport Inner Membrane",0,0,1000,0
"GLYt4pp","glycine transport in via sodium symport periplasm "," gly[p] + na1[p] -->  gly[c] + na1[c]","ECW_m0008","ECW_m0008","Transport Inner Membrane",0,0,1000,0
"GLYtex","Glycine transport via diffusion extracellular to periplasm "," gly[e] <==>  gly[p]","( ECW_m0355  or  ECW_m1039  or  ECW_m1509  or  ECW_m2416 )","ECW_m0355 ECW_m1039 ECW_m1509 ECW_m2416","Transport Outer Membrane Porin",1,-1000,1000,0
"GMAND","GDP D mannose dehydratase","[c] : gdpmann -->  gdpddman + h2o","ECW_m2210","ECW_m2210","Cell Envelope Biosynthesis",0,0,1000,0
"GMHEPAT","D glycero D manno hepose 1 phosphate adenyltransferase","[c] : atp + gmhep1p + h -->  adphep-DD + ppi","ECW_m3319","ECW_m3319","Lipopolysaccharide Biosynthesis Recycling",0,0,1000,0
"GMHEPK","D glycero D manno heptose 7 phosphate kinase","[c] : atp + gmhep7p -->  adp + gmhep17bp + h","ECW_m3319","ECW_m3319","Lipopolysaccharide Biosynthesis Recycling",0,0,1000,0
"GMHEPPA","D glycero D manno heptose 1 7 bisphosphate phosphatase","[c] : gmhep17bp + h2o -->  gmhep1p + pi","ECW_m0197","ECW_m0197","Lipopolysaccharide Biosynthesis Recycling",0,0,1000,0
"GMPR","GMP reductase","[c] : gmp + (2) h + nadph -->  imp + nadp + nh4","ECW_m0102","ECW_m0102","Purine and Pyrimidine Biosynthesis",0,0,1000,0
"GMPS2","GMP synthase","[c] : atp + gln-L + h2o + xmp -->  amp + glu-L + gmp + (2) h + ppi","ECW_m2731","ECW_m2731","Purine and Pyrimidine Biosynthesis",0,0,1000,0
"GMPtex","GMP transport via diffusion extracellular to periplasm "," gmp[e] <==>  gmp[p]","( ECW_m0355  or  ECW_m1039  or  ECW_m1509  or  ECW_m2416 )","ECW_m0355 ECW_m1039 ECW_m1509 ECW_m2416","Transport Outer Membrane Porin",1,-1000,1000,0
"GND","phosphogluconate dehydrogenase","[c] : 6pgc + nadp -->  co2 + nadph + ru5p-D","ECW_m2189","ECW_m2189","Pentose Phosphate Pathway",0,0,1000,0
"GNK","gluconokinase","[c] : atp + glcn -->  6pgc + adp + h","( ECW_m4628  or  ECW_m3696 )","ECW_m3696 ECW_m4628","Alternate Carbon Metabolism",0,0,1000,0
"GOFUCR","GDP 4 oxo L fucose reductase","[c] : gdpofuc + h + nadph -->  gdpfuc + nadp","ECW_m2209","ECW_m2209","Cell Envelope Biosynthesis",0,0,1000,0
"GP4GH","Gp4G hydrolase","[c] : gp4g + h2o -->  (2) gdp + (2) h","ECW_m0049","ECW_m0049","Nucleotide Salvage Pathway",0,0,1000,0
"GPDDA1","Glycerophosphodiester phosphodiesterase Glycerophosphocholine ","[c] : g3pc + h2o -->  chol + glyc3p + h","ECW_m3708","ECW_m3708","Glycerophospholipid Metabolism",0,0,1000,0
"GPDDA1pp","Glycerophosphodiester phosphodiesterase Glycerophosphocholine ","[p] : g3pc + h2o -->  chol + glyc3p + h","ECW_m2433","ECW_m2433","Glycerophospholipid Metabolism",0,0,1000,0
"GPDDA2","Glycerophosphodiester phosphodiesterase Glycerophosphoethanolamine ","[c] : g3pe + h2o -->  etha + glyc3p + h","ECW_m3708","ECW_m3708","Glycerophospholipid Metabolism",0,0,1000,0
"GPDDA2pp","Glycerophosphodiester phosphodiesterase Glycerophosphoethanolamine ","[p] : g3pe + h2o -->  etha + glyc3p + h","ECW_m2433","ECW_m2433","Glycerophospholipid Metabolism",0,0,1000,0
"GPDDA3","Glycerophosphodiester phosphodiesterase Glycerophosphoserine ","[c] : g3ps + h2o -->  glyc3p + h + ser-L","ECW_m3708","ECW_m3708","Glycerophospholipid Metabolism",0,0,1000,0
"GPDDA3pp","Glycerophosphodiester phosphodiesterase Glycerophosphoserine ","[p] : g3ps + h2o -->  glyc3p + h + ser-L","ECW_m2433","ECW_m2433","Glycerophospholipid Metabolism",0,0,1000,0
"GPDDA4","Glycerophosphodiester phosphodiesterase Glycerophosphoglycerol ","[c] : g3pg + h2o -->  glyc3p + glyc + h","ECW_m3708","ECW_m3708","Glycerophospholipid Metabolism",0,0,1000,0
"GPDDA4pp","Glycerophosphodiester phosphodiesterase Glycerophosphoglycerol ","[p] : g3pg + h2o -->  glyc3p + glyc + h","ECW_m2433","ECW_m2433","Glycerophospholipid Metabolism",0,0,1000,0
"GPDDA5","Glycerophosphodiester phosphodiesterase Glycerophosphoinositol ","[c] : g3pi + h2o -->  glyc3p + h + inost","ECW_m3708","ECW_m3708","Glycerophospholipid Metabolism",0,0,1000,0
"GPDDA5pp","Glycerophosphodiester phosphodiesterase Glycerophosphoinositol ","[p] : g3pi + h2o -->  glyc3p + h + inost","ECW_m2433","ECW_m2433","Glycerophospholipid Metabolism",0,0,1000,0
"GRTT","geranyltranstransferase","[c] : grdp + ipdp -->  frdp + ppi","ECW_m0490","ECW_m0490","Cofactor and Prosthetic Group Biosynthesis",0,0,1000,0
"GRXR","glutaredoxin reductase","[c] : grxox + (2) gthrd -->  grxrd + gthox","( ECW_m3889  or  ECW_m0957  or  ECW_m1821  or  ECW_m1171 )","ECW_m0957 ECW_m1171 ECW_m1821 ECW_m3889","Unassigned",0,0,1000,0
"GSNK","guanosine kinase","[c] : atp + gsn -->  adp + gmp + h","ECW_m0549","ECW_m0549","Nucleotide Salvage Pathway",0,0,1000,0
"GSNt2pp","guanosine transport in via proton symport periplasm "," gsn[p] + h[p] -->  gsn[c] + h[c]","ECW_m3222","ECW_m3222","Transport Inner Membrane",0,0,1000,0
"GSNtex","guanosine transport via diffusion extracellular to periplasm "," gsn[e] <==>  gsn[p]","( ECW_m0355  or  ECW_m1039  or  ECW_m1509  or  ECW_m2416 )","ECW_m0355 ECW_m1039 ECW_m1509 ECW_m2416","Transport Outer Membrane Porin",1,-1000,1000,0
"GSPMDA","Glutathionylspermidine amidase","[c] : gtspmd + h2o -->  gthrd + spmd","ECW_m3262","ECW_m3262","Arginine and Proline Metabolism",0,0,1000,0
"GSPMDS","Glutathionylspermidine synthetase","[c] : atp + gthrd + spmd -->  adp + gtspmd + h + pi","ECW_m3262","ECW_m3262","Arginine and Proline Metabolism",0,0,1000,0
"GTHOXtex","glutathione ox transport via diffusion extracellular to periplasm "," gthox[e] <==>  gthox[p]","( ECW_m0355  or  ECW_m1039  or  ECW_m1509  or  ECW_m2416 )","ECW_m0355 ECW_m1039 ECW_m1509 ECW_m2416","Transport Outer Membrane Porin",1,-1000,1000,0
"GTHOr","glutathione oxidoreductase","[c] : gthox + h + nadph <==>  (2) gthrd + nadp","ECW_m3759","ECW_m3759","Cofactor and Prosthetic Group Biosynthesis",1,-1000,1000,0
"GTHRDHpp","glutathione hydralase periplasmic ","[p] : gthrd + h2o -->  cgly + glu-L","ECW_m3706","ECW_m3706","Cofactor and Prosthetic Group Biosynthesis",0,0,1000,0
"GTHRDabc2pp","glutathione export via ABC system cytoplasm to periplasm "," atp[c] + gthrd[c] + h2o[c] -->  adp[c] + gthrd[p] + h[c] + pi[c]","( ECW_m0996  and  ECW_m0997 )","ECW_m0996 ECW_m0997","Transport Inner Membrane",0,0,1000,0
"GTHRDabcpp","Reduced glutathione via ABC system periplasm "," atp[c] + gthrd[p] + h2o[c] -->  adp[c] + gthrd[c] + h[c] + pi[c]","( ECW_m0887  and  ECW_m0888  and  ECW_m0889  and  ECW_m0890 )","ECW_m0887 ECW_m0888 ECW_m0889 ECW_m0890","Transport Inner Membrane",0,0,1000,0
"GTHRDtex","glutathione transport via diffusion extracellular to periplasm "," gthrd[e] <==>  gthrd[p]","( ECW_m0355  or  ECW_m1039  or  ECW_m1509  or  ECW_m2416 )","ECW_m0355 ECW_m1039 ECW_m1509 ECW_m2416","Transport Outer Membrane Porin",1,-1000,1000,0
"GTHS","glutathione synthetase","[c] : atp + glucys + gly -->  adp + gthrd + h + pi","ECW_m3205","ECW_m3205","Cofactor and Prosthetic Group Biosynthesis",0,0,1000,0
"GTPCI","GTP cyclohydrolase I","[c] : gtp + h2o -->  ahdt + for + h","ECW_m2354","ECW_m2354","Cofactor and Prosthetic Group Biosynthesis",0,0,1000,0
"GTPCII2","GTP cyclohydrolase II 25drapp ","[c] : gtp + (3) h2o -->  25drapp + for + (2) h + ppi","ECW_m1371","ECW_m1371","Cofactor and Prosthetic Group Biosynthesis",0,0,1000,0
"GTPDPDP","guanosine 5 triphosphate 3 diphosphate diphosphatase","[c] : gdptp + h2o -->  h + pi + ppgpp","ECW_m4077","ECW_m4077","Cofactor and Prosthetic Group Biosynthesis",0,0,1000,0
"GTPDPK","GTP diphosphokinase","[c] : atp + gtp -->  amp + gdptp + h","ECW_m2993","ECW_m2993","Cofactor and Prosthetic Group Biosynthesis",0,0,1000,0
"GTPHs","GTP amine hydrolysis spontaneous ","[c] : gtp + h2o + h -->  nh4 + xtp","s0001","s0001","Nucleotide Salvage Pathway",0,0,1000,0
"GTPtex","GTP transport via diffusion extracellular to periplasm "," gtp[e] <==>  gtp[p]","( ECW_m0355  or  ECW_m1039  or  ECW_m1509  or  ECW_m2416 )","ECW_m0355 ECW_m1039 ECW_m1509 ECW_m2416","Transport Outer Membrane Porin",1,-1000,1000,0
"GUAD","guanine deaminase","[c] : gua + h2o + h -->  nh4 + xan","ECW_m3136","ECW_m3136","Nucleotide Salvage Pathway",0,0,1000,0
"GUAPRT","guanine phosphoribosyltransferase","[c] : gua + prpp -->  gmp + ppi","( ECW_m0352  or  ECW_m0122 )","ECW_m0122 ECW_m0352","Nucleotide Salvage Pathway",0,0,1000,0
"GUAt2pp","guanine transport in via proton symport periplasm "," gua[p] + h[p] -->  gua[c] + h[c]","ECW_m3931","ECW_m3931","Transport Inner Membrane",0,0,1000,0
"GUAtex","Guanine transport via diffusion extracellular to periplasm "," gua[e] <==>  gua[p]","ECW_m0480","ECW_m0480","Transport Outer Membrane",1,-1000,1000,0
"GUAtpp","Guanine transport via diffusion periplasm "," gua[p] <==>  gua[c]",,,"Transport Inner Membrane",1,-1000,1000,0
"GUI1","glucuronate isomerase D glucuronate ","[c] : glcur <==>  fruur","ECW_m3359","ECW_m3359","Alternate Carbon Metabolism",1,-1000,1000,0
"GUI2","glucuronate isomerase D galacturonate ","[c] : galur <==>  tagur","ECW_m3359","ECW_m3359","Alternate Carbon Metabolism",1,-1000,1000,0
"GUR1PPpp","Glucuronate 1 phosphate phosphatase periplasm ","[p] : glcur1p + h2o -->  glcur + pi",,,"Alternate Carbon Metabolism",0,0,1000,0
"H2O2tex","hydrogen peroxide transport via diffusion external "," h2o2[e] <==>  h2o2[p]","( ECW_m0355  or  ECW_m1039  or  ECW_m1509  or  ECW_m2416 )","ECW_m0355 ECW_m1039 ECW_m1509 ECW_m2416","Transport Outer Membrane Porin",1,-1000,1000,0
"H2Otex","H2O transport via diffusion extracellular to periplasm "," h2o[e] <==>  h2o[p]","( ECW_m1509  or  ECW_m1039  or  ECW_m2416  or  ECW_m0355  or  s0001  or  ECW_m4179  or  ECW_m1415  or  ECW_m1067 )","ECW_m0355 ECW_m1039 ECW_m1067 ECW_m1415 ECW_m1509 ECW_m2416 ECW_m4179 s0001","Transport Outer Membrane",1,-1000,1000,0
"H2Otpp","H2O transport via diffusion periplasm "," h2o[p] <==>  h2o[c]","( ECW_m0984  or  s0001 )","ECW_m0984 s0001","Transport Inner Membrane",1,-1000,1000,0
"H2SO","Hydrogen sulfide oxidation","[c] : h2s + (2) o2 -->  (2) h + so4",,,"Inorganic Ion Transport and Metabolism",0,0,1000,0
"H2St1pp","h2s transport periplasm "," h2s[c] -->  h2s[p]","s0001","s0001","Transport Inner Membrane",0,0,1000,0
"H2Stex","h2s transport via diffusion extracellular to periplasm "," h2s[e] <==>  h2s[p]","( ECW_m0355  or  ECW_m1039  or  ECW_m1509  or  ECW_m2416 )","ECW_m0355 ECW_m1039 ECW_m1509 ECW_m2416","Transport Outer Membrane Porin",1,-1000,1000,0
"H2tex","hydrogen transport via diffusion extracellular to periplasm "," h2[e] <==>  h2[p]","( ECW_m0355  or  ECW_m1039  or  ECW_m1509  or  ECW_m2416 )","ECW_m0355 ECW_m1039 ECW_m1509 ECW_m2416","Transport Outer Membrane Porin",1,-1000,1000,0
"H2tpp","hydrogen transport diffusion periplasm "," h2[p] <==>  h2[c]","s0001","s0001","Transport Inner Membrane",1,-1000,1000,0
"HACD1i","3 hydroxyacyl CoA dehydrogenase acetoacetyl CoA ","[c] : 3hbcoa + nad -->  aacoa + h + nadh","( ECW_m4146  or  ECW_m2529 )","ECW_m2529 ECW_m4146","Membrane Lipid Metabolism",0,0,1000,0
"HACD2i","3 hydroxyacyl CoA dehydrogenase 3 oxohexanoyl CoA ","[c] : 3hhcoa + nad -->  3ohcoa + h + nadh","( ECW_m4146  or  ECW_m2529 )","ECW_m2529 ECW_m4146","Membrane Lipid Metabolism",0,0,1000,0
"HACD3i","3 hydroxyacyl CoA dehydrogenase 3 oxooctanoyl CoA ","[c] : 3hocoa + nad -->  3oocoa + h + nadh","( ECW_m2529  or  ECW_m4146 )","ECW_m2529 ECW_m4146","Membrane Lipid Metabolism",0,0,1000,0
"HACD4i","3 hydroxyacyl CoA dehydrogenase 3 oxodecanoyl CoA ","[c] : 3hdcoa + nad -->  3odcoa + h + nadh","( ECW_m4146  or  ECW_m2529 )","ECW_m2529 ECW_m4146","Membrane Lipid Metabolism",0,0,1000,0
"HACD5i","3 hydroxyacyl CoA dehydrogenase 3 oxododecanoyl CoA ","[c] : 3hddcoa + nad -->  3oddcoa + h + nadh","( ECW_m4146  or  ECW_m2529 )","ECW_m2529 ECW_m4146","Membrane Lipid Metabolism",0,0,1000,0
"HACD6i","3 hydroxyacyl CoA dehydrogenase 3 oxotetradecanoyl CoA ","[c] : 3htdcoa + nad -->  3otdcoa + h + nadh","( ECW_m4146  or  ECW_m2529 )","ECW_m2529 ECW_m4146","Membrane Lipid Metabolism",0,0,1000,0
"HACD7i","3 hydroxyacyl CoA dehydrogenase 3 oxohexadecanoyl CoA ","[c] : 3hhdcoa + nad -->  3ohdcoa + h + nadh","( ECW_m4146  or  ECW_m2529 )","ECW_m2529 ECW_m4146","Membrane Lipid Metabolism",0,0,1000,0
"HACD8i","3 hydroxyacyl CoA dehydrogenase 3 oxooctadecanoyl CoA ","[c] : 3hodcoa + nad -->  3oodcoa + h + nadh","( ECW_m4146  or  ECW_m2529 )","ECW_m2529 ECW_m4146","Membrane Lipid Metabolism",0,0,1000,0
"HBZOPT","Hydroxybenzoate octaprenyltransferase","[c] : 4hbz + octdp -->  3ophb + ppi","ECW_m4406","ECW_m4406","Cofactor and Prosthetic Group Biosynthesis",0,0,1000,0
"HCINNMt2rpp","3 hydroxycinnamic acid transport via proton symport reversible periplasm "," 3hcinnm[p] + h[p] <==>  3hcinnm[c] + h[c]","ECW_m0431","ECW_m0431","Transport Inner Membrane",1,-1000,1000,0
"HCINNMtex","3 hydroxycinnamic acid transport via diffusion extracellular to periplasm "," 3hcinnm[e] <==>  3hcinnm[p]","( ECW_m0355  or  ECW_m1039  or  ECW_m1509  or  ECW_m2416 )","ECW_m0355 ECW_m1039 ECW_m1509 ECW_m2416","Transport Outer Membrane Porin",1,-1000,1000,0
"HCO3E","HCO3 equilibration reaction","[c] : co2 + h2o <==>  h + hco3","( ECW_m0417  or  ECW_m0123 )","ECW_m0123 ECW_m0417","Unassigned",1,-1000,1000,0
"HDCAtexi","Hexadecanoate transport via facilitated irreversible diffusion extracellular to periplasm "," hdca[e] -->  hdca[p]","ECW_m2532","ECW_m2532","Transport Outer Membrane",0,0,1000,0
"HDCEAtexi","Hexadecenoate transport via facilitated irreversible diffusion extracellular to periplasm "," hdcea[e] -->  hdcea[p]","ECW_m2532","ECW_m2532","Transport Outer Membrane",0,0,1000,0
"HDCOAI","hexadecenoyl coa cis trans isomerization","[c] : hdcoa -->  hdd2coa","ECW_m4146","ECW_m4146","Membrane Lipid Metabolism",0,0,1000,0
"HEMEOS","Heme O synthase","[c] : frdp + h2o + pheme -->  hemeO + ppi","ECW_m0500","ECW_m0500","Cofactor and Prosthetic Group Biosynthesis",0,0,1000,0
"HETZK","hydroxyethylthiazole kinase","[c] : 4mhetz + atp -->  4mpetz + adp + h","ECW_m2305","ECW_m2305","Cofactor and Prosthetic Group Biosynthesis",0,0,1000,0
"HEX1","hexokinase D glucoseATP ","[c] : atp + glc-D -->  adp + g6p + h","ECW_m2621","ECW_m2621","GlycolysisGluconeogenesis",0,0,1000,0
"HEX4","hexokinase D mannoseATP ","[c] : atp + man -->  adp + h + man6p",,,"Alternate Carbon Metabolism",0,0,1000,0
"HEX7","hexokinase D fructoseATP ","[c] : atp + fru -->  adp + f6p + h","ECW_m0464","ECW_m0464","Alternate Carbon Metabolism",0,0,1000,0
"HG2abcpp","Mercury Hg2 ABC transporter periplasm "," atp[c] + h2o[c] + hg2[c] -->  adp[c] + h[c] + hg2[p] + pi[c]","ECW_m3730","ECW_m3730","Inorganic Ion Transport and Metabolism",0,0,1000,0
"HG2t3pp","mercury Hg2 transport out via proton antiport periplasm "," h[p] + hg2[c] -->  h[c] + hg2[p]","ECW_m4266","ECW_m4266","Inorganic Ion Transport and Metabolism",0,0,1000,0
"HG2tex","mercury Hg2 transport via diffusion extracellular to periplasm "," hg2[e] <==>  hg2[p]","( ECW_m0355  or  ECW_m1039  or  ECW_m1509  or  ECW_m2416 )","ECW_m0355 ECW_m1039 ECW_m1509 ECW_m2416","Transport Outer Membrane Porin",1,-1000,1000,0
"HISTD","histidinol dehydrogenase","[c] : h2o + histd + (2) nad -->  (3) h + his-L + (2) nadh","ECW_m2180","ECW_m2180","Histidine Metabolism",0,0,1000,0
"HISTP","histidinol phosphatase","[c] : h2o + hisp -->  histd + pi","ECW_m2182","ECW_m2182","Histidine Metabolism",0,0,1000,0
"HISTRS","Histidyl tRNA synthetase","[c] : atp + his-L + trnahis -->  amp + histrna + ppi","ECW_m2738","ECW_m2738","tRNA Charging",0,0,1000,0
"HISabcpp","L histidine transport via ABC system periplasm "," atp[c] + h2o[c] + his-L[p] -->  adp[c] + h[c] + his-L[c] + pi[c]","( ECW_m2498  and  ECW_m2496  and  ECW_m2495  and  ECW_m2497 )","ECW_m2495 ECW_m2496 ECW_m2497 ECW_m2498","Transport Inner Membrane",0,0,1000,0
"HISt2rpp","L histidine reversible transport via proton symport periplasm "," h[p] + his-L[p] <==>  h[c] + his-L[c]","ECW_m0109","ECW_m0109","Transport Inner Membrane",1,-1000,1000,0
"HIStex","L histidine transport via diffusion extracellular to periplasm "," his-L[e] <==>  his-L[p]","( ECW_m0355  or  ECW_m1039  or  ECW_m1509  or  ECW_m2416 )","ECW_m0355 ECW_m1039 ECW_m1509 ECW_m2416","Transport Outer Membrane Porin",1,-1000,1000,0
"HKNDDH","2 hydroxy 6 ketonona 2 4 dienedioic acid hydrolase","[c] : h2o + hkndd -->  h + op4en + succ","ECW_m0427","ECW_m0427","Alternate Carbon Metabolism",0,0,1000,0
"HKNTDH","2 hydroxy 6 ketononotrienedioate hydrolase","[c] : h2o + hkntd -->  fum + h + op4en","ECW_m0427","ECW_m0427","Alternate Carbon Metabolism",0,0,1000,0
"HMBS","hydroxymethylbilane synthase","[c] : h2o + (4) ppbng -->  hmbil + (4) nh4","ECW_m4106","ECW_m4106","Cofactor and Prosthetic Group Biosynthesis",0,0,1000,0
"HMPK1","hydroxymethylpyrimidine kinase ATP ","[c] : 4ahmmp + atp -->  4ampm + adp + h","( ECW_m2304  or  ECW_m2647 )","ECW_m2304 ECW_m2647","Cofactor and Prosthetic Group Biosynthesis",0,0,1000,0
"HOMt2pp","L homoserineserine efflux via proton symport"," h[p] + hom-L[c] -->  h[c] + hom-L[p]","( ECW_m0869  or  ECW_m4126 )","ECW_m0869 ECW_m4126","Transport Inner Membrane",0,0,1000,0
"HOMtex","L homoserine transport via diffusion extracellular to periplasm "," hom-L[e] <==>  hom-L[p]","( ECW_m0355  or  ECW_m1039  or  ECW_m1509  or  ECW_m2416 )","ECW_m0355 ECW_m1039 ECW_m1509 ECW_m2416","Transport Outer Membrane Porin",1,-1000,1000,0
"HOPNTAL","4 hydroxy 2 oxopentanoate aldolase","[c] : 4h2opntn -->  acald + pyr","ECW_m0430","ECW_m0430","Alternate Carbon Metabolism",0,0,1000,0
"HPPK2","6 hydroxymethyl dihydropterin pyrophosphokinase","[c] : 6hmhpt + atp -->  6hmhptpp + amp + h","ECW_m0139","ECW_m0139","Cofactor and Prosthetic Group Biosynthesis",0,0,1000,0
"HPPPNDO","2 3 dihydroxypheylpropionate 1 2 dioxygenase","[c] : dhpppn + o2 -->  h + hkndd","ECW_m0426","ECW_m0426","Alternate Carbon Metabolism",0,0,1000,0
"HPPPNt2rpp","3 3 hydroxyphenyl propionate transport via proton symport reversible periplasm "," 3hpppn[p] + h[p] <==>  3hpppn[c] + h[c]","ECW_m0431","ECW_m0431","Transport Inner Membrane",1,-1000,1000,0
"HPPPNtex","3 3 hydroxyphenyl propionate transport via diffusion extracellular to periplasm "," 3hpppn[e] <==>  3hpppn[p]","( ECW_m0355  or  ECW_m1039  or  ECW_m1509  or  ECW_m2416 )","ECW_m0355 ECW_m1039 ECW_m1509 ECW_m2416","Transport Outer Membrane Porin",1,-1000,1000,0
"HPYRI","hydroxypyruvate isomerase","[c] : hpyr <==>  2h3oppan","ECW_m0580","ECW_m0580","Alternate Carbon Metabolism",1,-1000,1000,0
"HPYRRx","Hydroxypyruvate reductase NADH ","[c] : h + hpyr + nadh -->  glyc-R + nad","( ECW_m1141  or  ECW_m3825 )","ECW_m1141 ECW_m3825","Alternate Carbon Metabolism",0,0,1000,0
"HPYRRy","Hydroxypyruvate reductase NADPH ","[c] : h + hpyr + nadph -->  glyc-R + nadp","( ECW_m3825  or  ECW_m1141 )","ECW_m1141 ECW_m3825","Alternate Carbon Metabolism",0,0,1000,0
"HSDy","homoserine dehydrogenase NADPH ","[c] : hom-L + nadp <==>  aspsa + h + nadph","( ECW_m4297  or  ECW_m0002 )","ECW_m0002 ECW_m4297","Threonine and Lysine Metabolism",1,-1000,1000,0
"HSK","homoserine kinase","[c] : atp + hom-L -->  adp + h + phom","ECW_m0003","ECW_m0003","Threonine and Lysine Metabolism",0,0,1000,0
"HSST","homoserine O succinyltransferase","[c] : hom-L + succoa -->  coa + suchms","ECW_m4372","ECW_m4372","Methionine Metabolism",0,0,1000,0
"HSTPT","histidinol phosphate transaminase","[c] : glu-L + imacp -->  akg + hisp","ECW_m2181","ECW_m2181","Histidine Metabolism",0,0,1000,0
"HXAND","hypoxanthine dehydrogenase","[c] : h2o + hxan + nad -->  h + nadh + xan","( ECW_m3119  and  ECW_m3120  and  ECW_m3121 )","ECW_m3119 ECW_m3120 ECW_m3121","Nucleotide Salvage Pathway",0,0,1000,0
"HXAtex","Hexanoate transport via diffusion extracellular to periplasm "," hxa[e] <==>  hxa[p]","( ECW_m0355  or  ECW_m1039  or  ECW_m1509  or  ECW_m2416 )","ECW_m0355 ECW_m1039 ECW_m1509 ECW_m2416","Transport Outer Membrane Porin",1,-1000,1000,0
"HXPRT","hypoxanthine phosphoribosyltransferase Hypoxanthine ","[c] : hxan + prpp -->  imp + ppi","( ECW_m0352  or  ECW_m0122 )","ECW_m0122 ECW_m0352","Nucleotide Salvage Pathway",0,0,1000,0
"HYD1pp","hydrogenase ubiquinone 8 2 protons  periplasm "," h2[c] + (2) h[c] + q8[c] -->  (2) h[p] + q8h2[c]","( ( ECW_m1082  and  ECW_m1083  and  ECW_m1084 )  or  ( ECW_m3268  and  ECW_m3271 )  or  ( ECW_m2920  and  ECW_m2921  and  ECW_m2922  and  ECW_m2923  and  ECW_m2924  and  ECW_m2925 ) )","ECW_m1082 ECW_m1083 ECW_m1084 ECW_m2920 ECW_m2921 ECW_m2922 ECW_m2923 ECW_m2924 ECW_m2925 ECW_m3268 ECW_m3271","Oxidative Phosphorylation",0,0,1000,0
"HYD2pp","Hydrogenase menaquinone8 2 protons  periplasm "," h2[c] + (2) h[c] + mqn8[c] -->  (2) h[p] + mql8[c]","( ( ECW_m1082  and  ECW_m1083  and  ECW_m1084 )  or  ( ECW_m3268  and  ECW_m3271 ) )","ECW_m1082 ECW_m1083 ECW_m1084 ECW_m3268 ECW_m3271","Oxidative Phosphorylation",0,0,1000,0
"HYD3pp","Hydrogenase Demethylmenaquinone 8 2 protons  periplasm "," 2dmmq8[c] + h2[c] + (2) h[c] -->  2dmmql8[c] + (2) h[p]","( ( ECW_m1082  and  ECW_m1083  and  ECW_m1084 )  or  ( ECW_m3268  and  ECW_m3271 ) )","ECW_m1082 ECW_m1083 ECW_m1084 ECW_m3268 ECW_m3271","Oxidative Phosphorylation",0,0,1000,0
"HYPOE","hypothetical enyme","[c] : h2o + pyam5p -->  pi + pydam",,,"Cofactor and Prosthetic Group Biosynthesis",0,0,1000,0
"HYXNtex","Hypoxanthine transport via diffusion extracellular to periplasm "," hxan[e] <==>  hxan[p]","( ECW_m0355  or  ECW_m1039  or  ECW_m1509  or  ECW_m2416 )","ECW_m0355 ECW_m1039 ECW_m1509 ECW_m2416","Transport Outer Membrane Porin",1,-1000,1000,0
"HYXNtpp","Hypoxanthine transport periplasm "," hxan[p] <==>  hxan[c]",,,"Transport Inner Membrane",1,-1000,1000,0
"Htex","proton transport via diffusion extracellular to periplasm "," h[e] <==>  h[p]","( ECW_m1039  or  ECW_m1509  or  ECW_m2416  or  ECW_m0355 )","ECW_m0355 ECW_m1039 ECW_m1509 ECW_m2416","Transport Outer Membrane Porin",1,-1000,1000,0
