Reaction #,E.C. #,Gene ID ,Gene Description,equation,Pathway,References,,,,
rxn293,2.3.1.16,geneCsal2392,3-ketoacyl-CoA thiolase, 3ohcoa + coa -> accoa + btcoa,Fatty acid metabolism,"51, 50, 33, 34, 28, 39",,,,
rxn294,2.3.1.16,geneCsal2392,3-ketoacyl-CoA thiolase, 3oocoa + coa -> accoa + hxcoa,Fatty acid metabolism,"51, 50, 33, 34, 28, 39",,,,
rxn295,2.3.1.16,geneCsal2392,3-ketoacyl-CoA thiolase, 3oodcoa + coa -> accoa + pmtcoa,Fatty acid metabolism,"51, 50, 33, 34, 28, 39",,,,
rxn296,2.3.1.178,geneCsal1876,Diaminobutyrate acetyltransferase,accoa + 24abtn <-> coa + N4aL24dab,ectoine biosynthesis ,"52 , 54, 53",,,,
rxn297,2.3.1.30,geneCsal2551,serine O-acetyltransferase, accoa + serL <-> acser + coa,Cysteine metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn298,2.3.1.30,geneCsal2551,"serine O-acetyltransferase, irreversible", accoa + serL -> acser + coa,Cysteine metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn299,2.3.1.31,geneCsal3057,homoserine O-trans-acetylase, accoa + homL <-> achms + coa,homocysteine biosynthesis ,"51, 50, 33, 28, 46, 39, 37",,,,
rxn300,2.3.1.39,geneCsal1600,Malonyl-CoA-ACP transacylase, ACP + malcoa <-> coa + malACP,Fatty acid biosynthesis,"51, 50, 33, 34, 28, 39, 37",,,,
rxn301,2.3.1.41,geneCsal1470,Acetyl-CoA ACP transacylase, ACP + accoa <-> acACP + coa,Fatty acid biosynthesis,"51, 50, 33, 34, 28, 39, 37",,,,
rxn302,2.3.1.41,geneCsal1470,beta-ketoacyl-ACP synthase, acACP + h + malACP -> ACP + actACP + co2,Fatty acid biosynthesis,"51, 50, 33, 34, 28, 39, 37",,,,
rxn303,2.3.1.41,geneCsal1470,3-oxoacyl-[acyl-carrier-protein] synthase (n-C6:0), butACP + h + malACP -> 3ohexACP + ACP + co2,Fatty acid biosynthesis,"51, 50, 33, 34, 28, 39, 37",,,,
rxn304,2.3.1.41,geneCsal1470,3-oxoacyl-[acyl-carrier-protein] synthase (n-C8:0), h + hexACP + malACP -> 3ooctACP + ACP + co2,Fatty acid biosynthesis,"51, 50, 33, 34, 28, 39, 37",,,,
rxn305,2.3.1.41,geneCsal1470,3-oxoacyl-[acyl-carrier-protein] synthase (n-C10:0), h + malACP + ocACP -> 3odecACP + ACP + co2,Fatty acid biosynthesis,"51, 50, 33, 34, 28, 39, 37",,,,
rxn306,2.3.1.41,geneCsal1470,3-oxoacyl-[acyl-carrier-protein] synthase (n-C12:0), dcaACP + h + malACP -> 3oddecACP + ACP + co2,Fatty acid biosynthesis,"51, 50, 33, 34, 28, 39, 37",,,,
rxn307,2.3.1.41,geneCsal1470,3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:0), ddcaACP + h + malACP -> 3omrsACP + ACP + co2,Fatty acid biosynthesis,"51, 50, 33, 34, 28, 39, 37",,,,
rxn308,2.3.1.41,geneCsal1470,3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:0), h + malACP + myrsACP -> 3opalmACP + ACP + co2,Fatty acid biosynthesis,"51, 50, 33, 34, 28, 39, 37",,,,
rxn309,2.3.1.41,geneCsal1470,3-oxoacyl-[acyl-carrier-protein] synthase (n-C12:1), cdec3eACP + h + malACP -> 3ocddec5eACP + ACP + co2,Fatty acid biosynthesis,"51, 50, 33, 34, 28, 39, 37",,,,
rxn310,2.3.1.41,geneCsal1470,3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:1), cddec5eACP + h + malACP -> 3ocmrs7eACP + ACP + co2,Fatty acid biosynthesis,"51, 50, 33, 34, 28, 39, 37",,,,
rxn311,2.3.1.41,geneCsal1470,3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:1), h + malACP + tdeACP -> 3ocpalm9eACP + ACP + co2,Fatty acid biosynthesis,"51, 50, 33, 34, 28, 39, 37",,,,
rxn312,2.3.1.41,geneCsal1470,3-oxoacyl-[acyl-carrier-protein] synthase (n-C18:1), h + hdeACP + malACP -> 3ocvac11eACP + ACP + co2,Fatty acid biosynthesis,"51, 50, 33, 34, 28, 39, 37",,,,
rxn313,2.3.1.41,geneCsal1470,3-oxoacyl-[acyl-carrier-protein] synthase (n-C18:0), h + malACP + palmACP -> 3ooctdACP + ACP + co2,Fatty acid biosynthesis,"51, 50, 33, 34, 28, 39, 37",,,,
rxn314,2.3.1.47,geneCsal1166,8-amino-7-oxononanoate synthase, alaL + h + pmcoa <-> 8aonn + co2 + coa,Biotin metabolism,"51, 50, 33, 34,46, 39, 37",,,,
rxn315,2.3.1.51,geneCsal0455,1-tetradecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C14:0), 1tdecg3p + myrsACP -> ACP + pa140,Glycerolipid metabolism,"51, 50, 33, 34, 28",,,,
rxn316,2.3.1.51,geneCsal0455,1-hexadecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C16:0), 1hdecg3p + palmACP -> ACP + pa160,Glycerolipid metabolism,"51, 50, 33, 34, 28",,,,
rxn317,2.3.1.51,geneCsal0455,1-octadecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C18:0), 1odecg3p + ocdcaACP -> ACP + pa180,Glycerolipid metabolism,"51, 50, 33, 34, 28",,,,
rxn318,2.3.1.51,geneCsal0455,1-tetradec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C14:1), 1tdec7eg3p + tdeACP -> ACP + pa141,Glycerolipid metabolism,"51, 50, 33, 34, 28",,,,
rxn319,2.3.1.51,geneCsal0455,1-hexadec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C16:1), 1hdec9eg3p + hdeACP -> ACP + pa161,Glycerolipid metabolism,"51, 50, 33, 34, 28",,,,
rxn320,2.3.1.51,geneCsal0455,1-octadec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C18:1), 1odec11eg3p + octeACP -> ACP + pa181,Glycerolipid metabolism,"51, 50, 33, 34, 28",,,,
rxn321,2.3.1.51,geneCsal0455,1-tetradecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C12:0), 1ddecg3p + ddcaACP -> ACP + pa120,Glycerolipid metabolism,"51, 50, 33, 34, 28",,,,
rxn322,2.3.1.61,geneCsal1218,oxoglutarate dehydrogenase (dihydrolipoamide S-succinyltransferase), coa + sdhlam -> dhlam + succoa,Citrate cycle (TCA cycle),"51, 50, 33, 28, 39",,,,
rxn323,2.3.1.9,geneCsal3068,acetyl-CoA C-acetyltransferase, (2) accoa -> aacoa + coa,acetoacetate degradation (to acetyl CoA) ,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn324,2.3.1.9,geneCsal3068,acetyl-CoA C-acetyltransferase, (2) accoa <-> aacoa + coa,acetoacetate degradation (to acetyl CoA) ,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn325,2.3.2.2,geneCsal2329,g-glutamyltransferase, alaL + gthrd -> cgly + gluala,Glutathione metabolism,"51, 50, 33, 28, 37",,,,
rxn326,2.3.2.6,geneCsal2437,Leucyltransferase,leutrna + P <-> trna + leuP,,"52 , 54, 53",,,,
rxn327,2.3.2.8,geneCsal2438,Arginyltransferase,argtrna + P <-> trna + argP,,"52 , 54, 53",,,,
rxn328,2.3.3.1,geneCsal1212,Citrate (Si)-synthase,accoa + h2o + oaa <-> cit + coa,Citrate cycle (TCA cycle),"52 , 54, 53",,,,
rxn329,2.3.3.13,geneCsal2535,2-isopropylmalate synthase,accoa + 3mob + h2o <-> 2S2ippylt + coa,"Valine, leucine and isoleucine biosynthesis","52 , 54, 53",,,,
rxn330,2.3.3.14,geneCsal0693,Homocitrate synthase,accoa + h2o + akg <-> Rhcit + coa,Lysine biosynthesis,"52 , 54, 53",,,,
rxn331,2.3.3.5,geneCsal2420,2-methylcitrate synthase,ppcoa + h2o + ooa <-> 2R3Shcit + coa,Propanoate metabolism,"52 , 54, 53",,,,
rxn332,2.3.3.9,geneCsal3154,Malate synthase,accoa + h2o + glx <-> (S)mal + coa,"TCA cycle variation I , glycolate and glyoxylate degradation II ","52 , 54, 53",,,,
rxn333,2.4.1.15,geneCsal0234,"alpha,alpha-trehalose-phosphate synthase (UDP-forming)", g6p + udpg -> h + tre6p + udp,Starch and sucrose metabolism,"51, 50, 33, 34, 28",,,,
rxn334,2.4.1.182,geneCsal0576,Lipid A disaccaride synthase, lipidX + u23ga -> h + lipidAds + udp,Lipopolysaccharide biosynthesis,"51, 50, 33, 34",,,,
rxn335,2.4.1.227,geneCsal2190,Undecaprenyldiphospho-muramoylpentapeptide beta-N- acetylglucosaminyltransferase,uacgam + mur2acpund <-> udp + glcnacmur2acpund,Peptidoglycan biosynthesis,"52 , 54, 53",,,,
rxn336,2.4.1.56,geneCsal0013,Lipopolysaccharide N-acetylglucosaminyltransferase,uacgam + lps <-> udp + acgamlps,Lipopolysaccharide biosynthesis,"52 , 54, 53",,,,
rxn337,2.4.1.7,geneCsal2588,Sucrose phosphorylase,sucr + pi <-> fru + g1p,Starch and sucrose metabolism,"52 , 54, 53",,,,
rxn338,2.4.1.83,geneCsal1246,Dolichyl-phosphate D-mannosyltransferase,dolp + gdpmann -> dolmanp + gdp,N-Glycan biosynthesis,"51, 50, 33, 28",,,,
rxn339,2.4.2.1,geneCsal0828,purine-nucleoside phosphorylase (Adenosine), adn + pi <-> ade + r1p,Purine metabolism,"51, 50, 33, 34, 28, 39, 37",,,,
rxn340,2.4.2.1,geneCsal0828,purine-nucleoside phosphorylase (Deoxyadenosine), dad2 + pi <-> 2dr1p + ade,Purine metabolism,"51, 50, 33, 34, 28, 39, 37",,,,
rxn341,2.4.2.1,geneCsal0828,purine-nucleoside phosphorylase (Guanosine), gsn + pi <-> gua + r1p,Purine metabolism,"51, 50, 33, 34, 28, 39, 37",,,,
rxn342,2.4.2.1,geneCsal0828,purine-nucleoside phosphorylase (Deoxyguanosine), dgsn + pi <-> 2dr1p + gua,Purine metabolism,"51, 50, 33, 34, 28, 39, 37",,,,
rxn343,2.4.2.1,geneCsal0828,purine-nucleoside phosphorylase (Inosine), ins + pi <-> hxan + r1p,Purine metabolism,"51, 50, 33, 34, 28, 39, 37",,,,
rxn344,2.4.2.1,geneCsal0828,purine-nucleoside phosphorylase (Deoxyinosine), din + pi <-> 2dr1p + hxan,Purine metabolism,"51, 50, 33, 34, 28, 39, 37",,,,
rxn345,2.4.2.1,geneCsal0828,purine-nucleoside phosphorylase (Xanthosine), pi + xtsn <-> r1p + xan,Purine metabolism,"51, 50, 33, 34, 28, 39, 37",,,,
rxn346,2.4.2.10,geneCsal3204,orotate phosphoribosyltransferase, orot5p + ppi <-> orot + prpp,Pyrimidine metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn347,2.4.2.11,geneCsal0941,nicotinic acid mononucleotide pyrophosphorylase, atp + h2o + nac + prpp -> adp + nicrnt + pi + ppi,Nicotinate and nicotinamide metabolism,"51, 50, 33, 34, 28, 46, 39",,,,
rxn348,2.4.2.11,geneCsal0941,NAPRTase, h + nac + prpp -> nicrnt + ppi,Nicotinate and nicotinamide metabolism,"51, 50, 33, 34,28, 46, 39",,,,
rxn349,2.4.2.14,geneCsal1267,glutamine phosphoribosyldiphosphate amidotransferase, gln-L + h2o + prpp -> gluL + ppi + pram,Glutamate metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn350,2.4.2.17,geneCsal2213,ATP phosphoribosyltransferase, atp + prpp -> ppi + prbatp,Histidine metabolism,"51, 50, 33, 34,28, 46, 39",,,,
rxn351,2.4.2.18,geneCsal2320,anthranilate phosphoribosyltransferase, anth + prpp -> ppi + pran,"Phenylalanine, tyrosine and tryptophan biosynthesis","51, 50, 33, 34,28, 46, 39, 37",,,,
rxn352,2.4.2.19,geneCsal0853,nicotinate-nucleotide diphosphorylase (carboxylating), (2) h + prpp + quln -> co2 + nicrnt + ppi,Nicotinate and nicotinamide metabolism,"51, 50, 33, 34, 28, 46, 37",,,,
rxn353,2.4.2.22,geneCsal2097,xanthine phosphoribosyltransferase, prpp + xan -> ppi + xmp,Purine metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn354,2.4.2.29,geneCsal2833,tRNA-guanine transglycosylase,trnagua + que <-> trnaque + gua  ,,"52 , 54, 53",,,,
rxn355,2.4.2.29,geneCsal2833,tRNA-guanine transglycosylase,trnagua + 7am7cbgua <-> trna7am7cbgua + gua,,"52 , 54, 53",,,,
rxn356,2.4.2.4,geneCsal0830,thymidine phosphorylase, pi + thymd <-> 2dr1p + thym,Purine metabolism,"51, 50, 33, 34, 28, 46",,,,
rxn357,2.4.2.7,geneCsal2098,adenine phosphoribosyltransferase, ade + prpp -> amp + ppi,Purine metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn358,2.4.2.8,geneCsal2065,hypoxanthine phosphoribosyltransferase (Hypoxanthine), hxan + prpp -> imp + ppi,Purine metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn359,2.4.2.8,geneCsal2065,guanine phosphoribosyltransferase, gua + prpp -> gmp + ppi,Purine metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn360,2.4.2.9,geneCsal2095,uracil phosphoribosyltransferase, prpp + ura -> ppi + ump,Pyrimidine metabolism,"51, 50, 33, 34, 28, 39, 37",,,,
rxn361,2.5.1.10,geneCsal0098,geranyltranstransferase, grdp + ipdp -> frdp + ppi,Terpenoid biosynthesis,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn362,2.5.1.15,geneCsal3080,dihydropteroate synthase, 4abz + 6hmhptpp -> dhpt + ppi,Folate biosynthesis,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn363,2.5.1.16,geneCsal0119,spermidine synthase, ametam + ptrc -> 5mta + h + spmd,Urea cycle and metabolism of amino groups,"51, 50, 33, 34, 28, 39, 37",,,,
rxn364,2.5.1.17,geneCsal1493,cob(I)alamin adenosyltransferase, atp + cbl1 + h2o <-> adocbl + pi + ppi,Porphyrin and chlorophyll metabolism,"51, 50, 33, 34,46",,,,
rxn365,2.5.1.17,geneCsal1493,Cobinamide adenyltransferase, atp + cbi + h <-> adocbi + pppi,Porphyrin and chlorophyll metabolism,"51, 50, 33, 34,46",,,,
rxn366,2.5.1.17,geneCsal1493,cob(I)alamin adenosyltransferase, atp + cbl1 + h <-> adocbl + pppi,Porphyrin and chlorophyll metabolism,"51, 50, 33, 34,46",,,,
rxn367,2.5.1.18,geneCsal1012,Glutathione transferase,rx + gthox <-> hx + RSgth,Glutathione metabolism,"52 , 54, 53",,,,
rxn368,2.5.1.19,geneCsal2165,3-phosphoshikimate 1-carboxyvinyltransferase, pep + skm5p <-> 3psme + pi,,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn369,2.5.1.19,geneCsal2165,"3-phosphoshikimate 1-carboxyvinyltransferase, irreversible", pep + skm5p -> 3psme + pi,,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn370,2.5.1.20,,Rubber cis-polyprenylcistransferase,pcpp + ipp <-> ppi + pcppldpc5,,"52 , 54, 53",,,,
rxn371,2.5.1.21,,Squalene synthase, (2) frdp + h + nadph -> nadp + (2) ppi + sql,,"51, 50, 33, 28, 39",,,,
rxn372,2.5.1.22,,spermine synthase, ametam + spmd -> 5mta + h + sprm,,"51, 50, 33, 28, 37",,,,
rxn373,2.5.1.3,geneCsal3303,thiamine-phosphate diphosphorylase, 2mahmp + 4mpetz + h -> ppi + thmmp,Thiamine metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn374,2.5.1.30,geneCsal0473,trans-hexaprenyltranstransferase, hexdp + ipdp -> hepdp + ppi,Biosynthesis of steroids,"51, 50, 39",,,,
rxn375,2.5.1.31,geneCsal0567,undecaprenyl-diphosphate synthase, decdp + ipdp -> ppi + udcpdp,Terpenoid biosynthesis,"51, 50, 39",,,,
rxn376,2.5.1.47,geneCsal1467,O3-Acetyl-L-serine acetate-lyase , acser + h2s <-> cysL + ac,Cysteine metabolism,"52 , 54, 53",,,,
rxn377,2.5.1.48,geneCsal1268,O-succinylhomoserine sulfhydrylase , suchms + cysL <-> cystL + ssaltpp,Methionine metabolism,"52 , 54, 53",,,,
rxn378,2.5.1.54,geneCsal0588,3-deoxy-7-phosphoheptulonate synthase,pep + e4p + h2o <-> 3dah7p + pi,"Phenylalanine, tyrosine and tryptophan biosynthesis","52 , 54, 53",,,,
rxn379,2.5.1.55,geneCsal0618,3-deoxy-8-phosphooctulonate synthase,pep + ara5p + h2o <-> kdop + pi,Lipopolysaccharide biosynthesis,"52 , 54, 53",,,,
rxn380,2.5.1.6,geneCsal0385,methionine adenosyltransferase, atp + h2o + metL -> amet + pi + ppi,Methionine metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn381,2.5.1.61,geneCsal3109,Hydroxymethylbilane synthase,(4) ppbng + h2o <-> hmbil + (4) h3,tetrapyrrole biosynthesis I ,"52 , 54, 53",,,,
rxn382,2.5.1.7,geneCsal2214,UDP-N-acetylglucosamine 1-carboxyvinyltransferase, pep + uacgam -> pi + uaccg,Aminosugars metabolism,"51, 50, 33, 34,46, 39, 37",,,,
rxn383,2.5.1.8,geneCsal1276,tRNA isopentenyltransferase,ipp + trna <-> dp + trna6ipr,,"52 , 54, 53",,,,
rxn384,2.5.1.9,geneCsal2583,riboflavin synthase, (2) dmlz -> 4r5au + ribflv,Riboflavin metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn385,2.5.1.9,geneCsal2583,riboflavin synthase, 4r5au + db4p -> dmlz + (2) h2o + pi,Riboflavin metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn386,2.6.1.1,geneCsal1320,aspartate transaminase, akg + aspL <-> gluL + oaa,Glutamate metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn387,2.6.1.1,geneCsal1320,"L-erythro-4-Hydroxyglutamate:2-oxoglutarate aminotransferase, peroxisomal", akg + e4hglu -> 4h2oglt + gluL,Glutamate metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn388,2.6.1.11,geneCsal2808,acetylornithine transaminase, acorn + akg <-> acg5sa + gluL,Urea cycle and metabolism of amino groups,"51, 50, 33, 34,28, 46, 39",,,,
rxn389,2.6.1.16,geneCsal3280,glutamine-fructose-6-phosphate transaminase, f6p + glnL -> gam6p + gluL,Glutamate metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn390,2.6.1.18,geneCsal1125,Beta-alanine--pyruvate transaminase,alaL + 3oppan <-> pyr + alaB,Alanine and aspartate metabolism,"52 , 54, 53",,,,
rxn391,2.6.1.22,geneCsal1289,(S)-3-amino-2-methylpropionate transaminase,S3a2mppn + akg <-> 2m3oppan + gluL,"Valine, leucine and isoleucine degradation","52 , 54, 53",,,,
rxn392,2.6.1.39,geneCsal0157,2-aminoadipate transaminase, 2oxoadp + gluL <-> L2aadp + akg,Lysine biosynthesis,"51, 50, 33, 28",,,,
rxn393,2.6.1.42,geneCsal2919,isoleucine transaminase, akg + ileL <-> 3mop + gluL,"Valine, leucine and isoleucine biosynthesis","51, 50, 33, 34,28, 46, 39, 37",,,,
rxn394,2.6.1.42,geneCsal2919,valine transaminase, akg + valL <-> 3mob + gluL,"Valine, leucine and isoleucine biosynthesis","51, 50, 33, 34,28, 46, 39, 37",,,,
rxn395,2.6.1.42,geneCsal2919,leucine transaminase (irreversible), 4mop + gluL -> akg + leuL,"Valine, leucine and isoleucine biosynthesis","51, 50, 33, 34,28, 46, 39, 37",,,,
rxn396,2.6.1.46,geneCsal1877,Diaminobutyrate--pyruvate transaminase,24abtn + pyr <-> aspsa + alaL,ectoine biosynthesis ,"52 , 54, 53",,,,
rxn397,2.6.1.52,geneCsal2167,phosphoserine transaminase, 3php + gluL -> akg + pserL,"Glycine, serine and threonine metabolism","51, 50, 33, 34,28, 46, 39, 37",,,,
rxn398,2.6.1.52,geneCsal2167,O-Phospho-4-hydroxy-L-threonine:2-oxoglutarate aminotransferase, gluL + ohpb <-> akg + phthr,"Glycine, serine and threonine metabolism","51, 50, 33, 34,28, 46, 39, 37",,,,
rxn399,2.6.1.62,geneCsal1162,adenosylmethionine-8-amino-7-oxononanoate transaminase, 8aonn + amet <-> amob + dann,Biotin metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn400,2.6.1.76,geneCsal1877,Diaminobutyrate--2-oxoglutarate transaminase,24abtn + akg <-> aspsa + gluL,biotin biosynthesis I ,"52 , 54, 53",,,,
rxn401,2.6.1.9,geneCsal0507,histidinol-phosphate transaminase, gluL + imacp -> akg + hisp,Histidine metabolism,"51, 50, 33, 34,28, 46, 39",,,,
rxn402,2.7.1.101,, ,atp + tag <-> adp + tag6pD,,"5,6,59,52 , 54, 53",,,,
rxn403,2.7.1.107,geneCsal2929,diacylglycerol kinase (n-C14:0), 12dgr140 + atp -> adp + h + pa140,Glycerolipid metabolism,"51, 50, 33, 34, 39",,,,
rxn404,2.7.1.107,geneCsal2929,diacylglycerol kinase (n-C16:0), 12dgr160 + atp -> adp + h + pa160,Glycerolipid metabolism,"51, 50, 33, 34, 39",,,,
rxn405,2.7.1.107,geneCsal2929,diacylglycerol kinase (n-C18:0), 12dgr180 + atp -> adp + h + pa180,Glycerolipid metabolism,"51, 50, 33, 34, 39",,,,
rxn406,2.7.1.107,geneCsal2929,diacylglycerol kinase (n-C14:1), 12dgr141 + atp -> adp + h + pa141,Glycerolipid metabolism,"51, 50, 33, 34, 39",,,,
rxn407,2.7.1.107,geneCsal2929,diacylglycerol kinase (n-C16:1), 12dgr161 + atp -> adp + h + pa161,Glycerolipid metabolism,"51, 50, 33, 34, 39",,,,
rxn408,2.7.1.107,geneCsal2929,diacylglycerol kinase (n-C18:1), 12dgr181 + atp -> adp + h + pa181,Glycerolipid metabolism,"51, 50, 33, 34, 39",,,,
rxn409,2.7.1.107,geneCsal2929,diacylglycerol kinase (n-C12:0), 12dgr120 + atp -> adp + h + pa120,Glycerolipid metabolism,"51, 50, 33, 34, 39",,,,
rxn410,2.7.1.11,geneCsal1534,phosphofructokinase, atp + f6p -> adp + fdp + h,Glycolysis / Gluconeogenesis,"51, 50, 33, 34, 28",,,,
rxn411,2.7.1.11,geneCsal1534,phosphofructokinase (s7p), atp + s7p -> adp + h + s17bp,Glycolysis / Gluconeogenesis,"51, 50, 33, 34, 28",,,,
rxn412,2.7.1.11,geneCsal1534,Phosphofructokinase, atp + tag6pD -> adp + h + tagdpD,Glycolysis / Gluconeogenesis,"51, 50, 33, 34, 28",,,,
rxn413,2.7.1.112,geneCsal1713,Receptor protein-tyrosine kinase,atp + PtyrL <-> adp + Ptyrp,Calcium signaling pathway,"52 , 54, 53",,,,
rxn414,2.7.1.12,geneCsal0926,gluconokinase, atp + glcn -> 6pgc + adp + h,Pentose phosphate pathway,"51, 50, 33, 34, 39",,,,
rxn415,2.7.1.130,geneCsal1587,Tetraacyldisaccharide 4'kinase, atp + lipidAds -> adp + h + lipidA,Lipopolysaccharide biosynthesis,"51, 50, 33, 34",,,,
rxn416,2.7.1.144,geneCsal0640,Tagatose-6-phosphate kinase,atp + tag6pD <-> adp + tagdpD,Galactose metabolism,"52 , 54, 53",,,,
rxn417,2.7.1.148,geneCsal1525,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,atp + 4c2me <-> adp + 2p4c2me,Biosynthesis of steroids,"52 , 54, 53",,,,
rxn418,2.7.1.15,geneCsal1841,ribokinase, atp + ribD -> adp + h + r5p,Pentose phosphate pathway,"51, 50, 33, 34,28, 46, 39",,,,
rxn419,2.7.1.15,geneCsal1841,Deoxyribokinase, atp + drib -> 2dr5p + adp + h,Pentose phosphate pathway,"51, 50, 33, 34,28, 46, 39",,,,
rxn420,2.7.1.17,geneCsal0644,xylulokinase, atp + xyluD -> adp + h + xu5pD,Pentose and glucuronate interconversions,"51, 50, 33, 34, 28",,,,
rxn421,2.7.1.19,geneCsal0910,phosphoribulokinase, atp + ru5pD -> adp + rb15bp,Carbon fixation,"52 , 54, 53",,,,
rxn422,2.7.1.2,geneCsal0935,Glucokinase, atp + glcD -> adp + g6p + h,Glycolysis / Gluconeogenesis,"51, 50, 33, 28",,,,
rxn423,2.7.1.23,geneCsal1307,NAD kinase, atp + nad -> adp + h + nadp,Nicotinate and nicotinamide metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn424,2.7.1.24,geneCsal2177,dephospho-CoA kinase, atp + dpcoa -> adp + coa + h,Pantothenate and CoA biosynthesis,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn425,2.7.1.25,geneCsal1687,adenylyl-sulfate kinase, aps + atp -> adp + h + paps,Sulfur metabolism,"51, 50, 33, 34, 28, 39, 37",,,,
rxn426,2.7.1.26,geneCsal0480,riboflavin kinase, atp + ribflv -> adp + fmn + h,"5,6-dimethylbenzimidazole biosynthesis , flavin biosynthesis I (bacteria) ","51, 50, 33, 34, 28, 39, 37",,,,
rxn427,2.7.1.27,,Erythritol kinase,atp + eryt <-> adp + eryt4p,,"5,6,59,52 , 54, 53",,,,
rxn428,2.7.1.29,geneCsal0355,dihydroxyacetone kinase, atp + dha -> adp + dhap + h,Glycerolipid metabolism,"51, 50, 33, 28, 39",,,,
rxn429,2.7.1.30,geneCsal2104,glycerol kinase, atp + glyc -> adp + glyc3p + h,Glycerolipid metabolism,"51, 50, 33, 34, 28, 39, 37",,,,
rxn430,2.7.1.31,geneCsal2952,glycerate kinase, atp + glycR -> 3pg + adp + h,"Glycine, serine and threonine metabolism","51, 50, 33, 34, 39",,,,
rxn431,2.7.1.31,geneCsal2952,glycerate kinase, atp + glycR -> 2pg + adp + h,"Glycine, serine and threonine metabolism","51, 50, 33, 34, 39",,,,
rxn432,2.7.1.39,geneCsal0546,homoserine kinase, atp + homL -> adp + h + phom,"Glycine, serine and threonine metabolism","51, 50, 33, 34,28, 46, 39, 37",,,,
rxn433,2.7.1.4,geneCsal0931,Fructokinase,atp + fru <-> adp + f6p,Starch and sucrose metabolism,"52 , 54, 53",,,,
rxn434,2.7.1.40,geneCsal1559,pyruvate kinase, adp + h + pep -> atp + pyr,Glycolysis / Gluconeogenesis,"51, 50, 33, 34,28, 46, 39",,,,
rxn435,2.7.1.45,geneCsal0274,2-dehydro-3-deoxygluconokinase, 2ddglcn + atp -> 2ddg6p + adp + h,Pentose phosphate pathway,"51, 50, 33, 34",,,,
rxn436,2.7.1.56,geneCsal2647,fructose-1-phosphate kinase, atp + f1p -> adp + fdp + h,Fructose and mannose metabolism,"51, 50, 33, 34, 28, 39",,,,
rxn437,2.7.1.58,geneCsal2605,2-dehydro-3-deoxygalactonokinase, 2dh3dgal + atp -> 2dh3dgal6p + adp + h,Galactose metabolism,"51, 50, 33, 34",,,,
rxn438,2.7.1.60,geneCsal1730,N-acetyl-D-mannosamine kinase, acmana + atp -> acmanap + adp + h,Aminosugars metabolism,"51, 50, 33, 34, 39",,,,
rxn439,2.7.1.66,geneCsal0859,undecaprenol kinase (reversible), atp + udcp <-> adp + h + udcpp,Peptidoglycan biosynthesis,"51, 50, 39",,,,
rxn440,2.7.1.69,geneCsal2646,Protein-N(pi)-phosphohistidine--sugar phosphotransferase,PEIIBphc + sgr <-> PEIIB + sgrpi,Glycolysis / Gluconeogenesis,"52 , 54, 53",,,,
rxn441,2.7.1.71,geneCsal0613,shikimate kinase, atp + skm -> adp + h + skm5p,"Phenylalanine, tyrosine and tryptophan biosynthesis","51, 50, 33, 34,28, 46, 39, 37",,,,
